particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,2212,0,0.0191763528,-0.0243465696,-40.2305183,-0.668610632,-0.0618200786,0.149595037,219.316971,0.938269973,1
4503599660924928,-2212,0,0.0191763528,-0.0243465696,-40.2305183,-0.668610632,-0.255766571,0.207970187,2299.29028,0.938269973,-1
4503599677702144,-211,0,0.0191763528,-0.0243465696,-40.2305183,-0.668610632,-0.324370235,-0.85031265,-391.983307,0.139569998,-1
4503599694479360,-211,0,0.0191763528,-0.0243465696,-40.2305183,-0.668610632,-0.169408813,0.164819509,3.81371403,0.139569998,-1
4503599711256576,-211,0,0.0191763528,-0.0243465696,-40.2305183,-0.668610632,0.200893104,-0.0673278496,16.5733891,0.139569998,-1
4503599728033792,211,0,0.0191763528,-0.0243465696,-40.2305183,-0.668610632,0.000404317369,-0.421986252,62.7403717,0.139569998,1
4503599744811008,2112,0,0.0191763528,-0.0243465696,-40.2305183,-0.668610632,-0.0629974753,0.0181635115,712.571045,0.93957001,0
4503599761588224,211,0,0.0191763528,-0.0243465696,-40.2305183,-0.668610632,0.823779106,-0.190064475,185.909851,0.139569998,1
4503599778365440,-211,0,0.0191763528,-0.0243465696,-40.2305183,-0.668610632,0.658495665,-0.73872304,33.0727386,0.139569998,-1
4503599795142656,-211,0,0.0191763528,-0.0243465696,-40.2305183,-0.668610632,-0.0406540856,-0.267561287,-1.32264781,0.139569998,-1
4503599811919872,211,0,0.0191763528,-0.0243465696,-40.2305183,-0.668610632,0.314718127,0.0275313444,-0.219367847,0.139569998,1
4503599828697088,-211,0,0.0191763528,-0.0243465696,-40.2305183,-0.668610632,-0.296392709,-0.0681533217,-14.3472996,0.139569998,-1
4503599845474304,211,0,0.0191763528,-0.0243465696,-40.2305183,-0.668610632,-0.341329336,0.215610623,-5.88719893,0.139569998,1
4503599879028736,-321,0,0.0191763528,-0.0243465696,-40.2305183,-0.668610632,-0.249891058,0.0604270399,-0.455736488,0.49368,-1
4503599895805952,211,0,0.0191763528,-0.0243465696,-40.2305183,-0.668610632,-0.250001639,-0.104947917,-1.11890399,0.139569998,1
4503599946137600,-211,0,0.0191763528,-0.0243465696,-40.2305183,-0.668610632,-0.359682918,-0.0273225289,1.19234061,0.139569998,-1
4503599962914816,211,0,0.0191763528,-0.0243465696,-40.2305183,-0.668610632,-0.00140821678,-0.250625789,3.63211989,0.139569998,1
4503599979692032,211,0,0.0191763528,-0.0243465696,-40.2305183,-0.668610632,0.412687093,-0.359870434,9.64590836,0.139569998,1
4503599996469248,-211,0,0.0191763528,-0.0243465696,-40.2305183,-0.668610632,0.0748143718,0.828994036,214.503937,0.139569998,-1
