particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,13,0,1095.23901,495.232697,-528.233337,4.82955599,0.204087898,0.488684803,-0.214008853,0.105658367,-1
4503599660924928,13,0,721.757507,-961.18158,-610.962219,4.50280857,2.88768363,-3.24776173,-2.20677352,0.105658367,-1
4503599677702144,13,0,1183.7157,208.856476,-110.826027,4.02979994,5.55979919,1.34999108,-0.527138293,0.105658367,-1
4503599694479360,13,0,1159.30994,317.497345,-549.322266,4.46820164,1.11897695,0.676465273,-0.5906896,0.105658367,-1
4503599711256576,13,0,-1169.77112,276.476807,-364.756989,4.19404507,-5.0210743,0.817591071,-1.5428071,0.105658367,-1
4503599728033792,13,0,-1113.45764,452.786835,-152.031219,4.04697514,-4.22085619,1.32461226,-0.559171975,0.105658367,-1
4503599744811008,13,0,-636.502625,-1019.6413,-523.537781,4.37942266,-1.82240891,-3.59953141,-1.75541174,0.105658367,-1
4503599761588224,13,0,-1075.70813,-536.335571,-607.196899,4.49324322,-7.66528702,-4.2208333,-4.41950178,0.105658367,-1
4503599778365440,13,0,-832.652466,866.887329,-170.343994,4.05113983,-5.90510416,5.62690306,-1.15573919,0.105658367,-1
4503599795142656,13,0,1153.48621,-338.043518,-352.545654,4.18371439,4.33789396,-0.897914112,-1.29790127,0.105658367,-1
4503599811919872,13,0,-53.8628922,-1200.7926,203.888123,4.09744835,0.279842734,-1.87128329,0.31914264,0.105658367,-1
4503599828697088,13,0,-785.919373,909.469482,444.382965,4.27976751,-3.20598722,3.15641618,1.66156352,0.105658367,-1
4503599845474304,13,0,650.313721,1010.88873,17.6461124,4.01643467,1.90512931,3.63324165,0.0603500493,0.105658367,-1
4503599862251520,13,0,-931.936829,-759.142761,517.004028,4.36644793,-5.47041512,-4.91961956,3.16311574,0.105658367,-1
4503599879028736,13,0,-1197.4093,-104.952583,-557.904053,4.4216814,-8.31663132,-1.09112668,-3.8921895,0.105658367,-1
4503599895805952,13,0,402.280029,1132.68481,-138.512207,4.04820156,0.656155527,2.92545128,-0.344430923,0.105658367,-1
4503599912583168,13,0,1023.94299,629.559143,-157.658066,4.12127018,0.792667508,0.911936462,-0.156215161,0.105658367,-1
4503599929360384,13,0,1201.99194,-4.39829779,618.521179,4.60075474,0.992124915,0.356611997,0.533037961,0.105658367,-1
4503599946137600,13,0,686.525574,-986.654236,41.4899673,4.01379585,4.56598759,-5.9253211,0.258121789,0.105658367,-1
4503599962914816,13,0,554.115356,-1066.65845,-610.313477,4.49873447,3.47451448,-5.91660452,-3.48250699,0.105658367,-1
4503599979692032,13,0,-1098.97437,-486.88739,-47.3388863,4.01500368,-5.96711349,-3.04146504,-0.263821602,0.105658367,-1
4503599996469248,13,0,-1201.99341,-3.97451663,152.957581,4.04523563,-5.60633755,-0.38216567,0.714623511,0.105658367,-1
4503600013246464,13,0,-900.075806,-796.660217,-78.6139832,4.02859259,-2.1616385,-2.39887238,-0.210975066,0.105658367,-1
4503600030023680,13,0,-56.6946564,-1200.66223,-278.916473,4.11930084,0.0956896096,-5.67078018,-1.31518626,0.105658367,-1
4503600046800896,13,0,-610.942322,-1035.15857,250.986099,4.09769821,-3.63431811,-6.86679268,1.62158883,0.105658367,-1
