particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,13,0,-341.58606,-1152.44214,-406.102448,4.2588377,-0.207628116,-1.96852517,-0.665037215,0.105658367,-1
4503599660924928,13,0,823.100464,875.962097,-84.7384949,4.05221272,0.969674647,1.55818105,-0.128541753,0.105658367,-1
4503599677702144,13,0,416.748901,-1127.44153,-162.542679,4.05003309,2.11618114,-4.68562508,-0.69467628,0.105658367,-1
4503599694479360,13,0,-669.729675,-998.131348,-144.968658,4.04228401,-2.67655897,-4.63574934,-0.645111501,0.105658367,-1
4503599711256576,13,0,-931.783813,-759.330566,125.105057,4.03264761,-6.25892067,-5.5653801,0.871450126,0.105658367,-1
4503599744811008,13,0,-237.811996,1178.23999,73.5218735,4.0733242,-0.622564554,1.26313686,0.085177891,0.105658367,-1
4503599761588224,13,0,1177.40491,-241.912735,526.076477,4.43975496,1.27527547,0.105856515,0.55249083,0.105658367,-1
4503599778365440,13,0,-1131.62915,-405.240051,-40.0042839,4.0131917,-7.82044744,-3.18328667,-0.280926466,0.105658367,-1
4503599795142656,13,0,1121.41052,432.715149,-405.846954,4.24528551,2.4423604,1.32867277,-0.93613416,0.105658367,-1
4503599811919872,13,0,1176.86145,-244.542419,169.52655,4.05449486,4.4555974,-0.557789743,0.6326285,0.105658367,-1
4503599828697088,13,0,-91.1466141,-1198.53918,-570.756592,4.44076157,-0.140128747,-6.59477186,-3.13060308,0.105658367,-1
4503599845474304,13,0,-1021.40149,633.674194,-430.887512,4.26170874,-5.70336866,3.11428595,-2.32826662,0.105658367,-1
4503599862251520,13,0,1116.17578,-446.044495,45.6749878,4.01457834,6.60207653,-2.25025368,0.264927328,0.105658367,-1
4503599879028736,13,0,1027.0332,-624.505249,566.294861,4.43524504,4.99124384,-2.61327171,2.65250802,0.105658367,-1
4503599895805952,13,0,-315.627594,1159.82031,624.627319,4.51968527,-2.70679832,8.57421303,4.67114973,0.105658367,-1
4503599912583168,13,0,903.155212,-793.16748,282.479309,4.12517452,3.26746702,-2.38996291,0.950109065,0.105658367,-1
4503599929360384,13,0,-1126.4458,419.43277,-217.81842,4.07749844,-5.96785069,1.83761239,-1.13093305,0.105658367,-1
4503599946137600,13,0,-442.303741,1117.66333,303.311371,4.14667225,-1.44410598,2.6698463,0.764137626,0.105658367,-1
4503599962914816,13,0,1179.04395,233.793488,-309.480194,4.14448643,4.7953229,1.31823468,-1.27933657,0.105658367,-1
4503599979692032,13,0,141.699982,-1193.61853,-158.213638,4.04849672,0.936733007,-4.83387852,-0.647517979,0.105658367,-1
4503599996469248,13,0,-1187.22656,-187.875061,615.094421,4.50502062,-9.1886034,-1.81890357,4.79210234,0.105658367,-1
4503600013246464,13,0,-586.72345,-1049.07556,453.968292,4.71994734,0.1174509,-0.528232634,0.186759382,0.105658367,-1
4503600030023680,13,0,123.213631,-1195.66821,-221.060074,4.46997261,0.404154122,-0.406553149,-0.0974946693,0.105658367,-1
4503600046800896,13,0,-313.245209,-1160.46606,-611.665771,4.49992704,-1.98471367,-8.73543835,-4.55729198,0.105658367,-1
