particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,13,0,-504.256165,-961.168213,-324.598511,3.78153825,-2.31522918,-5.11350393,-1.67772317,0.105658367,-1
4503599660924928,13,0,-996.91394,429.279816,-321.567413,3.86368918,-0.978632331,0.0671231896,-0.285107613,0.105658367,-1
4503599677702144,13,0,621.190857,890.078918,-197.360214,4.02906275,-0.0273542143,0.529376209,-0.0895188972,0.105658367,-1
4503599694479360,13,0,-705.201294,-825.112,444.941681,3.91900492,-2.07369065,-2.92713308,1.46849275,0.105658367,-1
4503599711256576,13,0,-1063.99866,-214.535568,-75.9780045,3.63378644,-4.21688509,-1.18220353,-0.306276858,0.105658367,-1
4503599728033792,13,0,-80.6180115,1082.4137,-145.358215,3.65952134,-0.586669803,3.49584866,-0.474042028,0.105658367,-1
4503599761588224,13,0,791.391174,742.844971,-176.643097,3.66900992,7.04958963,7.06343937,-1.62379277,0.105658367,-1
4503599778365440,13,0,600.240906,904.339294,239.556717,3.71250415,2.00515127,3.60943127,0.910349071,0.105658367,-1
4503599811919872,13,0,-947.445129,-529.590759,471.512238,3.96094871,-1.91281033,-1.44198084,1.03738439,0.105658367,-1
4503599828697088,13,0,991.599121,441.417969,490.876678,4.02818441,0.92518574,0.768036842,0.53701973,0.105658367,-1
4503599845474304,13,0,552.381104,-934.341309,53.9702225,3.62978888,2.4112649,-3.43920755,0.208642364,0.105658367,-1
4503599862251520,13,0,20.0751343,1085.22607,7.00675058,3.62323308,-0.220538974,5.67151499,0.0366193913,0.105658367,-1
4503599879028736,13,0,-1018.11792,376.237366,13.4029589,3.62425685,-4.74633741,1.40706527,0.0610861704,0.105658367,-1
4503599895805952,13,0,75.6810532,1082.77002,329.672363,3.86425161,-0.257121146,0.98819977,0.304730952,0.105658367,-1
4503599912583168,13,0,403.829254,-1007.49225,-135.985489,3.67340684,0.981196702,-1.57333076,-0.231101945,0.105658367,-1
4503599929360384,13,0,693.953613,834.593933,-107.694298,3.64407372,2.18295217,3.13431549,-0.37851876,0.105658367,-1
4503599946137600,13,0,1069.65881,-184.251419,463.43988,3.95224762,2.24309349,-0.0561880618,0.954659104,0.105658367,-1
4503599962914816,13,0,-918.36499,578.55365,-263.029205,3.72883344,-4.25713634,2.29733348,-1.171381,0.105658367,-1
4503599979692032,13,0,-1078.93677,118.380745,527.86676,4.09102249,-1.07803166,-0.20906961,0.526026666,0.105658367,-1
4503599996469248,13,0,-831.098389,-698.136169,548.475952,4.05766058,-6.04086208,-5.49939156,4.12692022,0.105658367,-1
4503600013246464,13,0,1066.99634,199.091446,503.69342,4.0380311,1.17290437,0.549867213,0.594700873,0.105658367,-1
4503600030023680,13,0,-1048.57825,280.36084,-42.4687042,3.62474346,-7.48738003,1.66508985,-0.300024062,0.105658367,-1
4503600046800896,13,0,796.873108,736.961304,-117.627502,3.64591432,3.06030488,3.27344131,-0.485202909,0.105658367,-1
