particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,13,0,0,0,0,0,2.05014038,-0.0665770099,0.282075346,0.105658367,-1
4503599660924928,13,0,0,0,0,0,-6.72406769,0.0708940849,1.75738752,0.105658367,-1
4503599677702144,13,0,0,0,0,0,-1.33467293,2.2789824,-0.489885539,0.105658367,-1
4503599694479360,13,0,0,0,0,0,4.38631058,2.08958578,-1.72512722,0.105658367,-1
4503599711256576,13,0,0,0,0,0,2.33877969,-2.17740273,0.316153556,0.105658367,-1
4503599728033792,13,0,0,0,0,0,0.199327514,-2.19727802,-0.259906113,0.105658367,-1
4503599744811008,13,0,0,0,0,0,0.779714763,-1.57148218,-0.893431306,0.105658367,-1
4503599761588224,13,0,0,0,0,0,1.55892229,1.87455523,0.75637424,0.105658367,-1
4503599778365440,13,0,0,0,0,0,-2.93512082,6.30149412,-1.35201681,0.105658367,-1
4503599795142656,13,0,0,0,0,0,-6.19353199,-6.54757214,0.0363248959,0.105658367,-1
4503599811919872,13,0,0,0,0,0,-6.78165197,-2.52384162,-2.55573511,0.105658367,-1
4503599828697088,13,0,0,0,0,0,-2.54228878,8.49245453,1.40718591,0.105658367,-1
4503599845474304,13,0,0,0,0,0,0.109907031,1.20613074,-0.499573767,0.105658367,-1
4503599862251520,13,0,0,0,0,0,0.635001898,-4.24685001,0.157475099,0.105658367,-1
4503599879028736,13,0,0,0,0,0,-2.75218415,-1.5353812,1.44228029,0.105658367,-1
4503599895805952,13,0,0,0,0,0,2.84181714,-5.73809671,1.13566172,0.105658367,-1
4503599912583168,13,0,0,0,0,0,5.55698252,-7.31558418,1.27925491,0.105658367,-1
4503599929360384,13,0,0,0,0,0,-7.05666971,0.648874223,0.879800677,0.105658367,-1
4503599946137600,13,0,0,0,0,0,-2.72481561,-0.872532427,-0.451947927,0.105658367,-1
4503599962914816,13,0,0,0,0,0,-0.820431232,4.31569099,-0.0987581909,0.105658367,-1
4503599979692032,13,0,0,0,0,0,4.81989288,7.04648399,3.31212926,0.105658367,-1
4503599996469248,13,0,0,0,0,0,2.70151496,5.31417704,-0.144959211,0.105658367,-1
4503600013246464,13,0,0,0,0,0,-0.503331363,7.3235116,-0.886319876,0.105658367,-1
4503600030023680,13,0,0,0,0,0,-8.55948448,0.543358743,-0.0840718895,0.105658367,-1
4503600046800896,13,0,0,0,0,0,-0.674844265,-5.15931368,0.00904451031,0.105658367,-1
