particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,13,0,-748.4505,-940.545532,519.022949,4.39452744,-0.899049163,-1.70851386,0.828753293,0.105658367,-1
4503599660924928,13,0,-996.755981,-671.774902,276.977631,4.11707115,-5.13846207,-3.89767551,1.4853816,0.105658367,-1
4503599677702144,13,0,1153.68958,-337.348907,-563.417297,4.42994595,7.02037287,-1.6773783,-3.38190055,0.105658367,-1
4503599694479360,13,0,-26.3901348,1201.71021,559.198914,4.44666386,-0.403904408,1.97932827,0.934777319,0.105658367,-1
4503599711256576,13,0,652.156982,-1009.70056,-420.191101,4.25228405,2.78135276,-3.64205599,-1.60032642,0.105658367,-1
4503599728033792,13,0,-295.541473,1165.10059,-86.2335587,4.02121782,-2.46218801,8.24099255,-0.61686635,0.105658367,-1
4503599744811008,13,0,-943.597412,-744.599182,217.64212,4.07660151,-5.57494783,-4.85826159,1.33841753,0.105658367,-1
4503599761588224,13,0,-1156.37354,-328.030792,541.30896,4.39895678,-7.25346518,-2.43217373,3.44399667,0.105658367,-1
4503599778365440,13,0,906.357056,789.506714,-102.413338,4.40661526,0.108468711,0.572377205,-0.0460374691,0.105658367,-1
4503599795142656,13,0,-624.116638,-1027.26941,-429.363251,4.31393147,-0.37815842,-1.31643963,-0.483499974,0.105658367,-1
4503599811919872,13,0,-1199.38953,79.1751556,503.854401,4.35507679,-3.63739419,-0.121019974,1.523067,0.105658367,-1
4503599828697088,13,0,-196.025864,1185.90808,-498.34552,4.47156668,-0.49125731,0.762372077,-0.365639776,0.105658367,-1
4503599845474304,13,0,1036.16345,-609.236633,62.6318207,4.30642557,0.653198242,0.0339609049,0.0321805812,0.105658367,-1
4503599862251520,13,0,-1183.21265,-211.688248,-244.918137,4.12711096,-1.62797582,-0.657333016,-0.355191797,0.105658367,-1
4503599879028736,13,0,-999.74469,667.318909,367.649963,4.19695663,-4.35961771,2.47674632,1.53229642,0.105658367,-1
4503599895805952,13,0,-433.253265,-1121.20276,32.3047371,4.01756144,-1.11780322,-3.89247012,0.108697504,0.105658367,-1
4503599912583168,13,0,-913.750793,780.937622,312.86911,4.14582586,-4.90751839,3.72018743,1.60200715,0.105658367,-1
4503599929360384,13,0,-716.641357,-965.002136,-246.968765,4.1108613,-1.16793168,-2.17709732,-0.505808711,0.105658367,-1
4503599946137600,13,0,1194.41357,-134.834167,-197.051041,4.065413,6.61906481,-0.384569228,-1.08639717,0.105658367,-1
4503599962914816,13,0,603.379761,1039.58496,-94.9638748,4.02432537,3.07164288,6.01010418,-0.532993436,0.105658367,-1
4503599979692032,13,0,-406.586517,1131.146,216.523102,4.07828856,-2.02386069,4.56517982,0.898758888,0.105658367,-1
4503599996469248,13,0,795.711731,-900.914429,-540.176147,4.3992238,3.78620172,-3.74243855,-2.39060402,0.105658367,-1
4503600013246464,13,0,1067.68823,552.12854,-15.4468775,4.07136631,0.990297079,0.917789102,-0.0171410181,0.105658367,-1
4503600030023680,13,0,1112.68481,-454.682831,434.823883,4.26518917,7.87253809,-2.82772493,3.02509785,0.105658367,-1
4503600046800896,13,0,460.50177,-1110.28918,162.570465,4.04909039,2.5771265,-5.27297497,0.793290675,0.105658367,-1
