particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,13,0,1030.80029,618.267456,574.46991,4.44384003,58.9862404,35.7997704,32.9769096,0.105658367,-1
4503599660924928,13,0,-812.661316,885.655396,-276.48941,4.11416769,-46.9151535,50.5961304,-15.8716164,0.105658367,-1
4503599677702144,13,0,-837.569824,-862.137329,-552.349792,4.41252565,-47.8210144,-49.7408333,-31.7071247,0.105658367,-1
4503599694479360,13,0,665.986267,1000.63293,612.347473,4.49976587,37.9299889,57.639534,35.1512337,0.105658367,-1
4503599711256576,13,0,-308.628876,1161.70227,-363.566681,4.18885469,-18.0646629,66.5933075,-20.8702068,0.105658367,-1
4503599728033792,13,0,701.247375,976.245911,421.576508,4.24891424,39.9614143,56.2502022,24.2002048,0.105658367,-1
4503599744811008,13,0,-1028.47632,-622.125671,-133.558289,4.03413773,-58.8516846,-36.0205498,-7.66678953,0.105658367,-1
4503599761588224,13,0,586.871826,1048.99255,-91.7958832,4.02113819,33.3740425,60.3918343,-5.26945686,0.105658367,-1
4503599778365440,13,0,-854.799805,845.056946,-276.018463,4.11381578,-49.3218803,48.2529984,-15.8445826,0.105658367,-1
4503599795142656,13,0,685.358582,987.46521,-347.873627,4.17400074,39.0459747,56.8894653,-19.9693604,0.105658367,-1
4503599811919872,13,0,1041.90784,-599.359802,-519.053528,4.3673172,59.988884,-34.0930176,-29.795784,0.105658367,-1
4503599828697088,13,0,-1169.87317,-276.0448,506.614807,4.35103512,-67.072113,-16.1966705,29.0817509,0.105658367,-1
4503599845474304,13,0,963.460754,-718.71228,-174.451874,4.05147076,55.5215187,-40.9677887,-10.014246,0.105658367,-1
4503599862251520,13,0,-599.560303,-1041.79248,161.842911,4.04564381,-34.1045647,-59.9823227,9.29044151,0.105658367,-1
4503599879028736,13,0,638.404907,1018.45135,-446.985077,4.27771235,36.3413773,58.6541023,-25.6587582,0.105658367,-1
4503599895805952,13,0,-802.916016,894.499756,-7.13392687,4.00953388,-46.3583946,51.1067505,-0.409516454,0.105658367,-1
4503599912583168,13,0,-1011.12097,649.952576,-510.856964,4.35655069,-58.2367783,37.0064545,-29.3252678,0.105658367,-1
4503599929360384,13,0,244.939178,-1176.77893,-31.4833603,4.01083851,14.413167,-67.4778519,-1.80727291,0.105658367,-1
4503599946137600,13,0,-1199.91565,-70.7551727,341.875488,4.16848278,-68.8582001,-4.4213233,19.6250439,0.105658367,-1
4503599962914816,13,0,-1154.0061,-336.26474,429.600555,4.25784731,-66.1432343,-19.6487503,24.6608181,0.105658367,-1
4503599979692032,13,0,1197.89661,99.2348557,-221.479248,4.0769577,68.7337646,6.05555296,-12.71381,0.105658367,-1
4503599996469248,13,0,13.5276127,1201.92383,64.6259766,4.01525402,0.416205198,68.9987411,3.70979381,0.105658367,-1
4503600013246464,13,0,-226.346405,1180.49622,-521.13092,4.37006903,-13.3469896,67.6968079,-29.9150352,0.105658367,-1
4503600030023680,13,0,-913.169495,-781.617188,-435.757172,4.26480293,-52.1848412,-45.1413536,-25.0142326,0.105658367,-1
4503600046800896,13,0,294.213654,-1165.43652,494.13266,4.33503437,17.2382927,-66.8119736,28.3652191,0.105658367,-1
