particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,211,0,-649.914978,-1011.14514,419.288086,4.28661776,-1.22198439,-1.23193991,0.601483941,0.139570609,1
4503599660924928,211,0,703.8797,-974.349731,-495.826385,4.34527826,1.91978276,-3.27465916,-1.56373954,0.139570609,1
4503599677702144,211,0,-1145.47168,-364.278168,374.2742,4.20713043,-3.84219098,-0.845668018,1.22367585,0.139570609,1
4503599694479360,211,0,589.790833,1047.35413,459.915283,4.2945075,4.52857828,7.31305075,3.29006052,0.139570609,1
4503599711256576,211,0,372.563171,-1142.80383,-267.312195,4.10926294,2.17473793,-7.82948923,-1.8065207,0.139570609,1
4503599728033792,211,0,1165.30225,-294.744934,-58.5070343,4.01855612,5.12096596,-1.66666186,-0.261989981,0.139570609,1
4503599744811008,211,0,1144.23645,368.139771,346.603394,4.19175434,2.50455379,0.428848267,0.73044461,0.139570609,1
4503599761588224,211,0,120.39801,-1195.95496,-132.986938,4.03595829,0.422244459,-7.82361507,-0.866538584,0.139570609,1
4503599778365440,211,0,994.904358,674.51416,-135.680206,4.04783058,2.77602816,1.44275677,-0.352519155,0.139570609,1
4503599795142656,211,0,902.490295,-793.923889,-518.155762,4.36795235,5.70714998,-5.50177383,-3.41624427,0.139570609,1
4503599811919872,211,0,1034.78967,611.567139,118.632263,4.03123569,6.53260994,3.44170499,0.728412509,0.139570609,1
4503599828697088,211,0,-959.788696,-723.608826,225.771759,4.08589888,-3.74672008,-2.3715663,0.832209527,0.139570609,1
4503599845474304,211,0,275.358337,-1170.03491,-495.939362,4.3395071,1.31692564,-7.15962553,-3.00239587,0.139570609,1
4503599862251520,211,0,-915.625488,-778.738708,-149.12796,4.06357241,-1.98713052,-1.21371984,-0.287651598,0.139570609,1
4503599879028736,211,0,-1191.57837,157.939758,80.2310944,4.21070051,-0.703228951,0.460053951,0.0544732548,0.139570609,1
4503599895805952,211,0,417.038757,-1127.33423,418.62973,4.2517128,1.19763136,-4.27547836,1.54487026,0.139570609,1
4503599912583168,211,0,-1149.29871,-352.017944,-35.5157394,4.14493227,-0.994761467,0.0713757724,-0.0286907107,0.139570609,1
4503599929360384,211,0,562.971863,-1062.01062,-35.2610207,4.09740925,0.234101191,-1.20834517,-0.0356252156,0.139570609,1
4503599946137600,211,0,1034.97559,-611.252441,-15.3326817,4.01428175,4.37085199,-3.00021338,-0.0676098093,0.139570609,1
4503599962914816,211,0,644.306519,-1014.72809,-72.8758011,4.02137899,2.5074091,-4.6262579,-0.318794608,0.139570609,1
4503599979692032,211,0,-623.594421,1027.58655,-328.35141,4.24836493,-0.269703299,1.14031208,-0.315383732,0.139570609,1
4503599996469248,211,0,1201.33484,39.981739,-44.1015625,4.03464365,2.36527872,-0.285236984,-0.0871574879,0.139570609,1
4503600013246464,211,0,633.106201,1021.75366,419.140747,4.24887323,3.8288753,5.49404001,2.33387423,0.139570609,1
4503600030023680,211,0,394.726379,-1135.33923,322.533875,4.1627593,0.726945519,-3.18635392,0.875377178,0.139570609,1
4503600046800896,211,0,-1140.15015,-380.606873,89.165451,4.0319767,-3.24335599,-0.703179657,0.24591811,0.139570609,1
