particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,211,0,0,0,0,0,-3.14168978,-5.81027746,0.233057782,0.139570609,1
4503599660924928,211,0,0,0,0,0,-0.751811624,-7.6602006,3.76823711,0.139570609,1
4503599677702144,211,0,0,0,0,0,-0.89332366,-5.90571737,-2.07040215,0.139570609,1
4503599694479360,211,0,0,0,0,0,-2.59761238,-6.73599339,-0.0782831758,0.139570609,1
4503599711256576,211,0,0,0,0,0,-1.97937787,-4.19672871,-1.75236559,0.139570609,1
4503599728033792,211,0,0,0,0,0,-7.36988211,1.02111351,0.487832129,0.139570609,1
4503599744811008,211,0,0,0,0,0,1.98553228,-4.87175894,0.777600825,0.139570609,1
4503599761588224,211,0,0,0,0,0,6.43798399,-1.04326141,1.29607809,0.139570609,1
4503599778365440,211,0,0,0,0,0,-0.099674806,7.4600172,3.11847353,0.139570609,1
4503599795142656,211,0,0,0,0,0,2.91833925,-9.17801285,-3.23705101,0.139570609,1
4503599811919872,211,0,0,0,0,0,1.09487605,-0.957302272,0.0774432868,0.139570609,1
4503599828697088,211,0,0,0,0,0,1.48071253,0.0170366801,-0.201526955,0.139570609,1
4503599845474304,211,0,0,0,0,0,-4.42964602,-2.53968215,-1.3909111,0.139570609,1
4503599862251520,211,0,0,0,0,0,5.46839476,-4.96212578,0.917540967,0.139570609,1
4503599879028736,211,0,0,0,0,0,4.79576731,-6.11983585,1.28799438,0.139570609,1
4503599895805952,211,0,0,0,0,0,-4.2539444,-8.22353554,-1.33293378,0.139570609,1
4503599912583168,211,0,0,0,0,0,-1.83588636,-1.30243921,-1.11611259,0.139570609,1
4503599929360384,211,0,0,0,0,0,1.47205615,-0.646972716,-0.679446697,0.139570609,1
4503599946137600,211,0,0,0,0,0,1.63795531,3.26979518,-1.60014784,0.139570609,1
4503599962914816,211,0,0,0,0,0,4.07561111,5.67302275,3.32350302,0.139570609,1
4503599979692032,211,0,0,0,0,0,3.48680162,0.804107904,-0.327887595,0.139570609,1
4503599996469248,211,0,0,0,0,0,-1.74953926,-1.05521083,0.616393089,0.139570609,1
4503600013246464,211,0,0,0,0,0,8.71335697,1.52831173,-0.498326808,0.139570609,1
4503600030023680,211,0,0,0,0,0,4.65597868,6.04671144,0.732073843,0.139570609,1
4503600046800896,211,0,0,0,0,0,3.15280867,1.53386199,0.949382961,0.139570609,1
