particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,11,0,-560.123413,1063.51575,-476.908508,4.3149929,-3.73660231,6.32145357,-2.9123466,0.000510998943,-1
4503599660924928,11,0,1188.2262,181.445374,1243.00964,5.76889753,7.08863878,1.44698203,7.47855616,0.000510998943,-1
4503599677702144,11,0,-982.768005,-692.077271,1298.77979,5.90642357,-3.12527847,-2.64159536,4.41586542,0.000510998943,-1
4503599694479360,11,0,1111.00183,-458.779846,-988.607422,5.19352865,5.24969053,-1.77795458,-4.55539703,0.000510998943,-1
4503599711256576,11,0,754.4104,935.771851,285.421448,4.13359499,1.33109975,2.22524381,0.613723934,0.000510998943,-1
4503599728033792,11,0,-765.895203,926.395447,499.139801,4.35673618,-1.72411454,1.51988232,0.950488031,0.000510998943,-1
4503599744811008,11,0,894.296021,-803.142944,-505.603333,4.35383368,3.50947714,-2.66742826,-1.8521446,0.000510998943,-1
4503599761588224,11,0,-1091.62085,503.157928,274.228943,4.22663403,-0.895087719,0.0157830808,0.198448434,0.000510998943,-1
4503599778365440,11,0,377.557465,-1141.16357,-30.4660816,4.0149169,1.76904535,-4.19970226,-0.115384005,0.000510998943,-1
4503599795142656,11,0,-1200.21179,-65.5419388,-1029.32861,5.279953,-7.12569571,-0.75001204,-6.13318443,0.000510998943,-1
4503599811919872,11,0,1201.99341,-3.9680829,-183.806427,4.06975985,2.48798275,0.352139056,-0.382922262,0.000510998943,-1
4503599828697088,11,0,587.852722,1048.44324,-3200.71655,11.4120865,0.657156408,1.90886664,-5.34695292,0.000510998943,-1
4503599845474304,11,0,-197.72464,-1185.62598,-1035.62195,5.29457998,-0.535878003,-5.40394068,-4.67533779,0.000510998943,-1
4503599862251520,11,0,-569.95459,-1058.27966,1811.64087,7.25281239,-3.63079071,-7.50153303,12.5570021,0.000510998943,-1
4503599879028736,11,0,817.082275,881.57843,983.69342,5.20274353,0.915839732,1.51823866,1.44094539,0.000510998943,-1
4503599895805952,11,0,-1198.93445,85.7919235,-2771.0708,10.0779505,-3.70447826,-0.0961912796,-8.52962112,0.000510998943,-1
4503599912583168,11,0,245.013519,1176.76355,-2276.02979,8.58784008,0.534119487,4.33312273,-8.25761604,0.000510998943,-1
4503599929360384,11,0,597.469971,1042.99268,-19.9986668,4.01111555,4.05960703,7.81174278,-0.146432191,0.000510998943,-1
4503599946137600,11,0,1201.99646,-2.93399024,297.87854,4.15558052,1.82242608,0.355903178,0.45724386,0.000510998943,-1
4503599962914816,11,0,472.279663,-1105.33069,747.969299,4.72739077,1.82733595,-3.35959673,2.37628245,0.000510998943,-1
4503599979692032,11,0,-1111.26306,458.146667,1619.22827,6.75455046,-1.37484288,0.177040279,1.84591019,0.000510998943,-1
4503599996469248,11,0,1110.48608,460.026703,-411.829224,4.23933363,7.87292433,3.65146112,-2.97256756,0.000510998943,-1
4503600013246464,11,0,308.724731,-1056.48474,-4002,13.8452425,2.35796428,-6.89275312,-26.4787006,0.000510998943,-1
4503600030023680,11,0,811.353027,-886.854126,-1131.01514,5.51598978,1.89965427,-1.54257751,-2.29419875,0.000510998943,-1
4503600046800896,11,0,-1201.87207,17.5377731,-1113.15723,5.46746254,-4.77664471,-0.290687859,-4.42758036,0.000510998943,-1
